SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Andaman & Nicobar Islands,1914,0,0,0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0,336.5,2007.4,613.9
Andaman & Nicobar Islands,1915,45,56.7,33.3,40.9,170.2,334.7,269,317.2,429.8,468.1,258.4,318,2741.3,101.7,244.4,1350.7,1044.5
Andaman & Nicobar Islands,1916,0,0,0,0.5,487.4,450.1,317.3,425,561.2,369.7,192.6,133.7,2937.5,0,487.9,1753.6,696
Andaman & Nicobar Islands,1917,8,3.6,112,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3
Andaman & Nicobar Islands,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227,366.9,175,3275,84.3,751.4,1670.4,768.9
Andaman & Nicobar Islands,1919,10.2,18,0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1,28.2,319.4,1219.5,785
Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2,129.7,253.5,1814.1,745.9
Andaman & Nicobar Islands,1921,13.2,3.1,0,37.5,351.2,282.7,487.1,330,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681,520.4
Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162,541,192.2,3554.2,279.6,628.4,1751,895.2
Andaman & Nicobar Islands,1923,79.5,0,NA,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,NA,79.5,NA,2188,399.9
Andaman & Nicobar Islands,1924,28.7,0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,NA,NA,28.7,295.7,1296.6,NA
Andaman & Nicobar Islands,1925,36.6,0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196,2480.5,36.6,341.2,1385.7,717
Andaman & Nicobar Islands,1926,122.1,0,0,0.5,198.4,370,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9
Andaman & Nicobar Islands,1927,3,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1
Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5
Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134,644.7,172.9,413,251.5,13.5,2926.6,192.6,515.6,1540.4,678
Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3
Andaman & Nicobar Islands,1931,25.3,0,2.5,2.5,205.4,393.5,289.3,571,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8
Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,NA,NA,NA,NA,NA,NA,NA,NA,5.3,548,NA,NA
Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5
Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4
Andaman & Nicobar Islands,1935,6.6,0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154,6.6,860.9,1733.3,553.2
Andaman & Nicobar Islands,1936,16.5,15.3,116.5,NA,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,NA,31.8,NA,2109.8,586.3
Andaman & Nicobar Islands,1937,21.6,10.7,0,112,330.5,732.8,449.5,332,349.5,383.3,251.7,617.5,3591.1,32.3,442.5,1863.8,1252.5
Andaman & Nicobar Islands,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4,70.6,521,1930.6,742.2
Andaman & Nicobar Islands,1939,54.1,1.5,16.1,77.3,480.5,541,335.6,202.8,512.5,263.9,165.9,131.3,2782.5,55.6,573.9,1591.9,561.1
Andaman & Nicobar Islands,1940,0.5,2.8,59.4,0,320.7,335.4,268.1,889.2,477.5,114.1,221,318.8,3007.5,3.3,380.1,1970.2,653.9
Andaman & Nicobar Islands,1941,0,12.8,0,77.8,251.9,497,302.5,311.9,516,382.8,266,279.5,2898.2,12.8,329.7,1627.4,928.3
Andaman & Nicobar Islands,1942,39.2,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,NA,NA,NA
Andaman & Nicobar Islands,1946,84.4,3.6,21.1,135.2,309.1,535.9,189,367.4,478.3,276.9,146.9,243.8,2791.6,88,465.4,1570.6,667.6
Andaman & Nicobar Islands,1947,25.1,111.1,63.2,127.7,206.3,965.6,490,293.7,NA,376,67.5,168.6,NA,136.2,397.2,NA,612.1
Andaman & Nicobar Islands,1949,0,56.4,0,166.5,405.8,658.4,743.3,404,627.5,339.6,81.1,7,3489.6,56.4,572.3,2433.2,427.7
Andaman & Nicobar Islands,1950,0.8,0,0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3
Andaman & Nicobar Islands,1951,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
Andaman & Nicobar Islands,1952,0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562,1824.8,692.3
Andaman & Nicobar Islands,1953,56,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246,63.3,2721.9,121.3,420.5,1627.1,552.9
Andaman & Nicobar Islands,1954,83.8,2.1,34.3,58,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449,85.9,487,2419.4,456.7
Andaman & Nicobar Islands,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.2,1648.3,873.6
Andaman & Nicobar Islands,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080,126.4,656,1604.4,693.3
Andaman & Nicobar Islands,1957,28,19.3,4.6,19,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2,47.3,166,1833.6,460.3
Andaman & Nicobar Islands,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4,37.2,410.2,1710.4,649.6
Andaman & Nicobar Islands,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,3343.3,11.9,356.1,2271.7,703.6
Andaman & Nicobar Islands,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400,191.7,92.8,3025,176.6,601,1563,684.5
Andaman & Nicobar Islands,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612,379.9,280.6,144.5,3938.2,181.5,1094.5,1857.3,805
Andaman & Nicobar Islands,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7,167.3,374.1,1671.9,746.4
Andaman & Nicobar Islands,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,2981.7,106.7,336.8,1953.5,584.7
Andaman & Nicobar Islands,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.8,87.4,551.8,1745.9,669.8
Andaman & Nicobar Islands,1965,11.8,30.4,25.3,51,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8,42.2,368.5,1774.3,978.8
Andaman & Nicobar Islands,1966,79.8,4.2,12,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2,83.9,427.6,1372.1,817.6
Andaman & Nicobar Islands,1967,164.6,21.6,30,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97,3216.4,186.2,609.7,1796.4,624.1
Andaman & Nicobar Islands,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242,496.8,281.6,152,119.2,2762.8,23.4,383.3,1803.3,552.8
Andaman & Nicobar Islands,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619,171,352.7,1539.1,556.3
Andaman & Nicobar Islands,1970,72.2,34,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,3370.8,106.2,488.7,1738.2,1037.7
Andaman & Nicobar Islands,1971,41.5,32.8,37.7,35.3,398,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.6,74.3,471,1613.7,839.6
Andaman & Nicobar Islands,1972,13.7,1.7,7.5,178.3,420.2,470,544.6,384.9,444.5,263.8,413.9,180,3323,15.3,605.9,1844,857.7
Andaman & Nicobar Islands,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,2991.1,38.5,478.7,1587.8,886.1
Andaman & Nicobar Islands,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8,2962,66,672,1378.7,845.3
Andaman & Nicobar Islands,1975,276.9,27.5,8,24.2,362.9,706.3,173.6,357.4,351.8,373.6,323.7,99.7,3085.7,304.4,395.2,1589.1,797
Andaman & Nicobar Islands,1976,20.9,9.7,0.6,161.6,551.4,441.4,382.1,487.7,387,166.8,307.2,359.6,3276,30.6,713.5,1698.2,833.7
Andaman & Nicobar Islands,1977,79.7,43.2,6.1,6.9,275.3,339.3,341.1,345.5,467.1,263.6,153.3,67.1,2388.2,122.9,288.3,1492.9,484.1
Andaman & Nicobar Islands,1978,109.6,29.3,18.9,63.4,343.6,462.2,656.6,346.3,310.8,243.7,83.4,44.6,2712.4,138.9,425.9,1775.9,371.6
Andaman & Nicobar Islands,1979,35.5,9.4,3.9,64.8,146.3,282.8,455.9,173.6,330.2,163.5,169.8,13.6,1849.4,44.9,215,1242.5,347
Andaman & Nicobar Islands,1980,5.5,0.8,9.2,38.8,728.4,604.2,575.7,494.4,271.9,252,143.7,500.7,3625.3,6.3,776.5,1946.3,896.3
Andaman & Nicobar Islands,1981,11.1,27.8,1.7,94.1,270.8,600.6,344.1,510.7,452.6,242.1,348.4,170.7,3074.8,38.9,366.7,1908,761.2
Andaman & Nicobar Islands,1982,8.8,2.8,6.6,97.5,229.2,448.7,410.5,347.6,369,164.5,238.8,60.5,2384.5,11.6,333.3,1575.8,463.8
Andaman & Nicobar Islands,1983,22.1,0,3.1,9.1,240.8,424.3,468.9,493.8,505.5,275.8,261,88.1,2792.4,22.1,253,1892.4,624.9
Andaman & Nicobar Islands,1984,69.4,173.8,26.3,156.6,162.3,424.9,446.4,125.8,283.6,347.1,158.9,445.2,2820.3,243.2,345.2,1280.7,951.2
Andaman & Nicobar Islands,1985,12,19.2,24.1,55,278.1,588.4,230.9,375.2,362.5,358.9,232.1,94.4,2630.8,31.2,357.2,1557,685.4
Andaman & Nicobar Islands,1986,14.8,0.6,1.5,8.2,302.6,312.2,308.5,444,408.9,176.1,163.5,47,2187.8,15.4,312.3,1473.6,386.5
Andaman & Nicobar Islands,1987,72.4,35.2,20.4,17.7,162.9,343.7,45.3,666.5,378.9,373.4,313.4,334.1,2764,107.6,200.9,1434.5,1021
Andaman & Nicobar Islands,1988,10.2,39.9,28,82.7,427.5,357.4,495.6,354.2,603.3,271.4,583,69.9,3323,50.1,538.1,1810.5,924.3
Andaman & Nicobar Islands,1989,56,12.8,68.1,42.6,379.3,414.9,380.1,413.2,215.9,291.8,255,4,2533.6,68.8,490,1424.1,550.7
Andaman & Nicobar Islands,1990,13.4,0.2,24.6,87.5,424.6,291,213.2,293.3,310.4,133.6,291.1,100.3,2183.4,13.6,536.8,1108,525.1
Andaman & Nicobar Islands,1991,14.1,3.8,28,132.9,191.3,165.7,547.2,486.5,489.9,287.6,130.1,58.5,2535.8,18,352.2,1689.3,476.2
Andaman & Nicobar Islands,1992,75.9,10.9,0,5.1,241.7,392,348.2,372.3,323.7,257.3,64.3,7.2,2098.7,86.8,246.8,1436.2,328.8
Andaman & Nicobar Islands,1993,14.9,0,129.9,43.7,181.4,257.1,391.7,226.7,437,299.3,189,66.7,2237.4,14.9,355,1312.5,555
Andaman & Nicobar Islands,1994,7.2,35.5,129.4,154.6,403.2,386.3,569.7,460.5,775.1,137.5,180.3,23.8,3262.8,42.6,687.2,2191.5,341.5
Andaman & Nicobar Islands,1995,51.8,12.5,12.1,21.1,314.8,450.4,501.4,555.8,426.4,294.7,452.9,21.6,3115.4,64.3,348.1,1933.9,769.2
Andaman & Nicobar Islands,1996,52.2,4.8,3.4,122.7,298,559.2,335.5,328,541.6,318.5,254.2,178.8,2996.9,57,424.1,1764.3,751.5
Andaman & Nicobar Islands,1997,9.5,0,0.2,15.6,281.1,199.5,918.5,430.6,440.2,128.7,292.8,38.4,2755.1,9.5,296.9,1988.8,459.9
Andaman & Nicobar Islands,1998,0.9,0,0,0,348.9,600,364.5,258.9,337.8,618.6,227.8,89,2846.4,0.9,348.9,1561.2,935.4
Andaman & Nicobar Islands,1999,46.8,44.6,14.2,270.6,257.4,295,408.5,329.2,325.3,437.5,124.9,145.7,2699.7,91.4,542.2,1358,708.1
Andaman & Nicobar Islands,2000,53,59,171.3,218.1,422.8,357,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112,812.2,1244.2,594.7
Andaman & Nicobar Islands,2001,89,15.7,143.3,30.1,705.3,370.7,341.3,469,334.4,267.6,222.6,91.8,3080.9,104.7,878.7,1515.4,582
Andaman & Nicobar Islands,2002,10.6,0,11.5,100.2,366.7,358.3,317.4,429.8,420,169,306.7,129.9,2620.2,10.7,478.4,1525.6,605.5
Andaman & Nicobar Islands,2003,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48,2355.9,52.2,465,1406.1,432.5
